Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
11,NCT03672318,Study of ATLCAR.CD138 Cells for Relapsed/Refractory Multiple Myeloma,,Recruiting,No Results Available,Multiple Myeloma|Immune System Diseases,Drug: CAR138 T Cells,Proportion of participants with dose limiting toxicities as a measure of maximum tolerated dose of CAR138 T cells|Survival of CAR138 T cells in vivo as assessed by PCR and flow cytometry|Overall survival after infusion of CAR138 T cells|Progression free survival after infusion of CAR138 T cells|Overall response rate (ORR) as defined as the percentage of patients achieving a confirmed partial response or better based on the International Myeloma Working Group (IMWG) response criteria.,UNC Lineberger Comprehensive Cancer Center,All,"18 Years and older   (Adult, Older Adult)",Phase 1,33,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,LCCC 1603-ATL,31-Oct-18,Nov-20,Oct-32,14-Sep-18,null,27-Sep-18,"Lineberger Comprehensive Cancer Center at University of North Carolina, Chapel Hill, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT03672318
12,NCT03448978,Autologous CD8+ T-cells Expressing an Anti-BCMA CAR in Patients With Myeloma,,Recruiting,No Results Available,Multiple Myeloma,Biological: Descartes-08|Drug: Fludarabine|Drug: Cyclophosphamide,Incidence (number) of Treatment-Emergent Adverse Events [Safety and Tolerability]|Treatment response,Cartesian Therapeutics,All,"18 Years and older   (Adult, Older Adult)",Phase 1,15,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,241-59-88,26-Feb-18,26-Feb-19,1-Mar-20,28-Feb-18,null,1-Oct-18,"Georgetown University Lombardi Comprehensive Cancer Center, Washington, District of Columbia, United States|The Center for Cancer and Blood Disorders, Bethesda, Maryland, United States|Virgina Cancer Specialists, Fairfax, Virginia, United States",,https://ClinicalTrials.gov/show/NCT03448978
13,NCT03602612,T Cells Expressing a Novel Fully-Human Anti-BCMA CAR for Treating Multiple Myeloma,,Recruiting,No Results Available,"Myeloma-Multiple|Myeloma, Plasma-Cell",Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Anti-BCMA CAR T cells,Determine the safety of administering T cells expressing an BCMA CAR,National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC),All,"18 Years to 73 Years   (Adult, Older Adult)",Phase 1,42,NIH,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,180125|18-C-0125,14-Sep-18,1-Jan-23,1-Jan-24,27-Jul-18,null,21-Sep-18,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT03602612
14,NCT03288493,P-BCMA-101 Tscm CAR-T Cells in the Treatment of Patients With Multiple Myeloma (MM),,Recruiting,No Results Available,Multiple Myeloma,Biological: P-BCMA-101 CAR-T cells,Maximum tolerated dose of P-BCMA-101 based on dose limiting toxicities|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Anti-myeloma effect of P-BCMA-101(Response Rate)|Anti-myeloma effect of P-BCMA-101(Duration of Response)|Anti-myeloma effect of P-BCMA-101(Progression Free Survival)|Anti-myeloma effect of P-BCMA-101(Overall Survival)|Pharmacokinetics of P-BCMA-101|Biomarkers for P-BCMA-101,"Poseida Therapeutics, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,40,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,P-BCMA-101-001,20-Sep-17,31-Dec-18,30-Jun-21,20-Sep-17,null,8-Aug-18,"University of California San Diego, San Diego, California, United States|Colorado Blood Cancer Institute, Denver, Colorado, United States|Johns Hopkins University, Baltimore, Maryland, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Sarah Cannon Research Institute at Tennessee Oncology, Nashville, Tennessee, United States|MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03288493
15,NCT02215967,Study of T Cells Targeting B-Cell Maturation Antigen for Previously Treated Multiple Myeloma,,"Active, not recruiting",No Results Available,"Myeloma, Plasma-Cell|Myeloma-Multiple",Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Anti-BCMA CAR T cells,Determine the safety of administering T cells expressing an BCMA CAR,National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC),All,"18 Years to 73 Years   (Adult, Older Adult)",Phase 1,30,NIH,Interventional,Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,140168|14-C-0168,12-Aug-14,31-Oct-18,31-Oct-19,13-Aug-14,null,29-Aug-18,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT02215967
16,NCT03651128,Efficacy and Safety Study of bb2121 Versus Standard Triplet Regimens in Subjects With Relapsed and Refractory Multiple Myeloma (RRMM),KarMMa-3,Not yet recruiting,No Results Available,Multiple Myeloma,Drug: bb2121|Drug: Daratumumab|Drug: Pomalidomide|Drug: Dexamethasone|Drug: Bortezomib|Drug: Ixazomib|Drug: Lenalidomide,Progression-free Survival (PFS)|Overall Survival (OS)|Event-free Survival (EFS)|Overall Response Rate (ORR)|Minimal Residual Disease (MRD)|Complete Response (CR) Rate|Duration of Response (DOR)|Time to Response (TTR)|Adverse Events (AEs)|Pharmacokinetics- Cmax|Pharmacokinetics- tmax|Pharmacokinetics- AUC|Pharmacokinetics- t-last|Pharmacokinetics- AUC0-28days|Subject-reported outcomes as measured by European Organization for Research and Treatment of Cancer Quality-of-Life questionnaire (EORTC-QLQ-C30)|Subject-reported outcomes as measured by EuroQoL Group European Quality of Life-5 Dimensions health state classifier to 5 Levels (EQ-5D-5L) Health Questionnaire|Subject-reported outcomes as measured by European Quality of Life Multiple Myeloma Module (EORTC-QLQ-MY20)|Time to next antimyeloma treatment|Progression-free survival after next line therapy (PFS2),Celgene,All,"18 Years and older   (Adult, Older Adult)",Phase 3,381,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BB2121-MM-003|U1111-1217-9988|2018-001023-38,30-Nov-18,9-Jun-25,9-Jun-25,29-Aug-18,null,25-Oct-18,"Sarah Cannon Research Institute Center for Blood, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT03651128
17,NCT03318861,A Study Evaluating the Safety and Efficacy of KITE-585 in Subjects With Relapsed/Refractory Multiple Myeloma,,Recruiting,No Results Available,Multiple Myeloma,Genetic: Autologous genetically modified anti-BCMA CAR transduced T cells (KITE-585)|Drug: Cyclophosphamide|Drug: Fludarabine,Incidence of adverse events defined as DLTs|Objective response rate|Duration of response (DOR)|Progression free survival (PFS)|Incidence of adverse events (AE)|Clinically significant changes in lab values|Overall Survival|Time to next treatment (TTNT),"Kite, A Gilead Company",All,"18 Years and older   (Adult, Older Adult)",Phase 1,64,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,KITE-585-501,31-Oct-17,Oct-19,Oct-32,24-Oct-17,null,10-Oct-18,"University of California Los Angeles, Los Angeles, California, United States|H Lee Moffitt Cancer Center, Tampa, Florida, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|University of Chicago Medicine, Chicago, Illinois, United States|Johns Hopkins, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03318861
18,NCT02203825,Safety Study of Chimeric Antigen Receptor Modified T-cells Targeting NKG2D-Ligands,,Completed,No Results Available,Acute Myeloid Leukemia|Myelodysplastic Syndrome|Multiple Myeloma,Biological: CM-CS1 T-cell infusion,Safety and feasibility of intravenous administration of CM-CS1 T-cells.|Clinical and biologic responses,"Celyad (formerly named Cardio3 BioSciences)|Dana-Farber Cancer Institute|National Heart, Lung, and Blood Institute (NHLBI)",All,"18 Years and older   (Adult, Older Adult)",Phase 1,12,Industry|Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CM-14-001|5R44HL099217-03,Mar-15,Mar-18,Mar-18,30-Jul-14,null,1-Jun-18,"Dana-Farber Cancer Institute, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT02203825
19,NCT03274219,Study of bb21217 in Multiple Myeloma,,Recruiting,No Results Available,Multiple Myeloma,Biological: bb21217,"Incidence of adverse events (AEs), DLTs, and changes in laboratory results|Disease-specific response criteria",bluebird bio,All,"18 Years and older   (Adult, Older Adult)",Phase 1,50,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CRB-402,16-Aug-17,Jun-20,Jun-20,6-Sep-17,null,31-Oct-18,"UCSF Medical Center at Parnassus, San Francisco, California, United States|H. Lee Moffitt Cancer Center, Tampa, Florida, United States|Winship Cancer Insitute, Emory University, Atlanta, Georgia, United States|Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|John Theurer Cancer Center at Hackensack UMC, Hackensack, New Jersey, United States|Mount Sinai Medical Center, New York, New York, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT03274219
20,NCT03361748,Efficacy and Safety Study of bb2121 in Subjects With Relapsed and Refractory Multiple Myeloma (KarMMa),bb2121,Recruiting,No Results Available,Multiple Myeloma,Biological: bb2121,Overall Response Rate (ORR)|Complete Response (CR) Rate|Time to Response|Duration of Response|Progression-free Survival (PFS)|Time to Progression (TTP)|Overall Survival (OS)|Adverse Events (AEs)|Pharmacokinetics - Cmax|Pharmacokinetics - Tmax|Pharmacokinetics - AUC|Biomarker - Cytokines|Biomarker - BCMA|Immunogenicity|Minimal Residual Disease (MRD)|Subject-reported outcomes as measured by European Organization for Research and Treatment of Cancer Quality-of-Life questionnaire (EORTC-QLQ-C30)|Subject-reported outcomes as measured by EuroQoL Group EQ-5D-5L Health Questionnaire|Subject-reported outcomes as measured by EORTC-QLQ-MY20,Celgene,All,"18 Years and older   (Adult, Older Adult)",Phase 2,140,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BB2121-MM-001|U1111-1202-5554|2017-002245-29,13-Dec-17,1-Nov-23,1-Nov-23,5-Dec-17,null,15-Oct-18,"University of California - San Francisco, San Francisco, California, United States|Emory University, Atlanta, Georgia, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Mt. Sinai Medical Center, New York, New York, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Universitaire Ziekenhuizen Leuven, Leuven, Flemish Brabant, Belgium|Princess Margaret Cancer Centre, Toronto, Canada|Centre Hospitalier Regional Universitaire de Lille-Hopital Calude Huriez Service des Maladies du Sang, Lille, Hauts-de-France, France|Centre Hospitalier Universitaire de Nantes - Hotel Dieu, Nantes, Pays De La Loire, France|Universitatsklinikum Heidelberg Medizinische Klinik Krehl-Klinik Haematologie, Onkologie, Rheumato, Heidelberg, Baden-Württemberg, Germany|University of Tübingen, Tübingen, Baden-Württemberg, Germany|Universitatsklinikum Würzburg, Würzburg, Bavaria, Germany|Azienda Ospedaliero Universitaria Di Bologna Policlinico, Bologna, Emilia-Romagna, Italy|Hospital Universitari Germans Trias i Pujol Can Ruti, Badalona, Barcelona, Spain|Clinica Universidad de Navarra, Pamplona, Navarre, Spain",,https://ClinicalTrials.gov/show/NCT03361748
21,NCT03430011,Study Evaluating the Safety and Efficacy of JCARH125 in Subjects With Relapsed and/or Refractory Multiple Myeloma,EVOLVE,Recruiting,No Results Available,Multiple Myeloma,Biological: JCARH125,Phase 1: Incidence of dose-limiting toxicities (DLTs)|Phase 1: Incidence and severity of adverse events|Phase 2: Overall response rate|Phase 1 and Phase 2: Maximum concentration (Cmax) of JCARH125 in the blood|Phase 1 and Phase 2: Time to maximum concentration (Tmax) of JCARH125 in the blood|Phase 1 and Phase 2: Area under the concentration vs time curve (AUC) of JCARH125 in the blood|Phase 1 and Phase 2: Complete response rate|Phase 1 and Phase 2: Depth of response|Phase 2: incidence and severity of adverse events,"Juno Therapeutics, Inc.|Celgene Corporation",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,118,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,H125001,1-Feb-18,Mar-21,Mar-21,12-Feb-18,null,12-Oct-18,"University of Alabama, Birmingham, Alabama, United States|City of Hope Comprehensive Cancer Center, Duarte, California, United States|University of California, San Francisco, California, United States|Winship Cancer Institute at Emory University, Atlanta, Georgia, United States|The University of Chicago Medicine, Chicago, Illinois, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Swedish Cancer Institute, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT03430011
22,NCT02658929,Study of bb2121 in Multiple Myeloma,,Recruiting,No Results Available,Multiple Myeloma,Biological: bb2121,"Incidence of adverse events (AEs) and abnormal laboratory test results, including dose limiting toxicities (DLTs)|Disease-specific response criteria including: complete response (CR), very good partial response (VGPR), and partial response (PR) according to the International Myeloma Working Group (IMWG) Uniform Response Criteria for Multiple Myeloma",Celgene|bluebird bio,All,"18 Years and older   (Adult, Older Adult)",Phase 1,66,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CRB-401,31-Jan-16,30-Nov-23,30-Nov-23,20-Jan-16,null,18-Jul-18,"Stanford Cancer Center, Palo Alto, California, United States|National Cancer Institute, Bethesda, Maryland, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Mount Sinai Medical Center, New York, New York, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT02658929
23,NCT02529813,CD19+ CAR T Cells for Lymphoid Malignancies,,Recruiting,No Results Available,Leukemia|Lymphoma,Drug: Fludarabine monophosphate|Drug: Cyclophosphamide|Procedure: T Cell Infusion,Maximum Tolerated Dose (MTD) of Genetically Modified CD19-Specified T Cells,M.D. Anderson Cancer Center|Ziopharm|Intrexon Corporation,All,"1 Year to 80 Years   (Child, Adult, Older Adult)",Phase 1,30,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2013-1018|NCI-2015-01492,Dec-15,Dec-21,Dec-21,20-Aug-15,null,4-Jan-18,"University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT02529813
